"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Andersen & Martini";"Denmark";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"AM B";"Aktier";"Q4-2017";-0.2941176;0.3181818;2.797618;0.1487507;1.518407;923.33;108.348;72.248;81.828;49.094;54.898;2.081;326.259;0.253;239.827
"Angler Gaming";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"ANGL";"Aktier";"Q1-2018";0.9148937;0.04804444;9.940358;4.893199;8.325405;136.9607;65.983;49.4892;51.0955;67.4209;25.747;74.464;11.0373;49.5188;11.0373
"Annexin";"Sverige";"First North";"Hälsovård";"Bioteknik";"ANNX";"Aktier";"Q1-2018";-0.5146341;"";-0.7232025;"";1.519575;"";-8.033;-32.4;-31.894;-32.47;-39.089;5.9;7.171;5.908;6.754
"Anoto";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"ANOT";"Aktier";"Q2-2018";-0.2904483;"";-933.3333;2.861126;1.229165;138.548;66.668;-9.368;2.395;-0.4339;-66.382;108.902;75.728;10.556;63.734
"Apetit";"Finland";"Small Cap";"Dagligvaror";"Livsmedel";"APETIT";"Aktier";"Q4-2017";-0.04055035;0.05283019;-136.8802;0.260958;0.7312867;314.7;6.6999;1.1;6.7;-0.6;28.9;6.198;42.4;15.7;35.5
"Apple";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Elektronisk utrustning";"AAPL";"Aktier";"Q2-2018";0.2744294;0.01351206;17.73033;3.820859;7.450823;247417;94753;66056;76378;53318;69440;5068.877;240624;87940;89320
"AppSpotr";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";"APTR";"Aktier";"Q4-2018";-0.6028369;"";-2.109864;288.2539;5.054002;0.115;-3.525;-15.687;-15.182;-15.712;-20.022;11.839;8.323;8.003;8.031
"Apptix";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"APP";"Aktier";"Q1-2018";-0.3214286;0.6140351;-15.15957;"";0.09961844;"";"";-28.0312;-28.0312;-3.0656;42.7652;81.43;21.0536;485.736;21.0536
"Aptahem";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"APTA";"Aktier";"Q1-2018";-0.54;"";-3.12755;5121.443;1.377896;0.007;-7.864;-11.462;-11.387;-11.464;-20.166;15.587;2.611;17.595;2.611
"AQ Group";"Sverige";"Mid Cap";"Industri";"Produktion";"AQ";"Aktier";"Q2-2018";-0.2982456;0.0171875;16.99145;0.6787555;1.673244;4312.363;2146.649;231.377;333.092;172.266;-93.337;18.294;1508.683;139.988;1288.721
"Aqua Bio Technology";"Norge";"Oslo Axess";"Sällanköpsvaror";"Konsument";"ABT";"Aktier";"Q2-2017";-0.5913513;0.2645503;-6.291611;0.7891196;0.5060945;33.258;27.769;-4.561;9.768;-4.172;0.3299;6.943;7.709;52.063;6.709
"Aqualis";"Norge";"OB Match";"Energi";"Olja & Gas";"AQUA";"Aktier";"Q1-2018";0.230563;"";-3.662039;0.7865897;0.8630915;253.8713;133.4512;-45.1455;10.6336;-54.5311;-0.0804;43.506;45.8262;78.4195;39.2338
"Arbona B";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"ARBO MTF B";"Aktier";"Q4-2017";-0.08450706;"";14.50893;0.9619417;1.06592;75.337;34.765;-3.836;-3.009;4.997;-30.097;37.164;47.237;10.168;15.342
"Arc Aroma Pure";"Sverige";"First North";"Hälsovård";"Läkemedel";"AAP B";"Aktier";"Q4-2018";-0.1896226;"";28.28635;25.56675;6.558696;15.257;0.613;11.467;12.641;13.791;-29.68;9.082;11.514;2.149;7.014
"Archelon";"Sverige";"NGM";"Material";"Gruv & Metall";"ALON MTF B";"Aktier";"Q1-2018";-0.2090396;"";-2.451839;108.6086;2.762429;0.098;-2.704;-4.534;-4.534;-4.346;-1.11;76.026;1.111;2.957;1.111
"Archer";"Norge";"OB Match";"Energi";"Olja & Gas";"ARCHER";"Aktier";"Q1-2018";-0.2115045;"";2.50993;0.1538716;0.7801085;8538.792;1420.662;-97.626;533.1;523.482;-157.968;147.461;6890.304;362.304;1462.272
"Arcoma";"Sverige";"First North";"Hälsovård";"Sjukvård";"ARCOMA";"Aktier";"Q1-2018";0.7651515;"";-14.05816;1.565084;3.771091;94.118;36.425;-9.944;-4.194;-10.479;-12.148;12.644;35.755;4.532;34.588
