"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Saga Furs";"Finland";"Small Cap";"Sällanköpsvaror";"kläder & Textil";"SAGCV";"Aktier";"Q2-2018";-0.2509364;0.08333333;25.93473;0.8881944;0.4935056;48.638;46.522;-0.144;4.163;1.666;8.613;3.6;103.769;15.139;101.443
"Saga Tankers";"Norge";"Oslo Axess";"Industri";"Tjänster & Leverans";"SAGA";"Aktier";"Q1-2018";-0.6173469;"";16.81614;10.43312;0.9685612;38.265;21.098;-2.804;0.001;23.752;-56.719;266.149;88.842;57.833;26.601
"SalMar";"Norge";"OBX";"Dagligvaror";"Livsmedel";"SALM";"Aktier";"Q1-2018";0.858;0.05113025;16.49503;3.856157;5.084649;10918.1;6222.7;3199.6;3645.4;2552.4;2564.7;113.299;5086;489.1;2595.7
"Salmones Camanchaca";"Norge";"OB Match";"Dagligvaror";"Livsmedel";"SALMON";"Aktier";"Q1-2018";"";0.006849315;12.26991;2.171985;2.876121;1818.963;465.2866;326.6804;326.6804;321.9931;-150.1001;66;1264.428;111.3166;497.9548
"SaltX Technology";"Sverige";"First North";"Industri";"Byggprodukter";"SALT B";"Aktier";"Q1-2018";-0.5759494;"";-26.0174;37.96445;5.528286;24.252;-6.724;-36.36;-34.739;-35.392;-56.961;54.968;59.036;52.893;27.926
"Samtrygg";"Sverige";"NGM";"Informationsteknik";"Programvara & Internet";"SAMT MTF B";"Aktier";"Q1-2018";0.1237458;"";-8.497724;0.2803587;5.6195;92.102;94.102;-2.782;-2.737;-3.039;-4.572;7.685;9.32;4.837;9.32
"Sandvik";"Sverige";"Large Cap";"Industri";"Produktion";"SAND";"Aktier";"Q2-2018";0.16086;0.02234994;13.04283;2.058935;3.615291;95407;39230;20634;25277;15061;14815;1254.386;59652;10802;27219
"Saniona";"Sverige";"Small Cap";"Hälsovård";"Läkemedel";"SANION";"Aktier";"Q1-2018";-0.3147369;"";-12.58749;40.49352;20.8517;17.493;-41.285;-65.347;-64.751;-56.275;-67.443;21.762;19.342;25.449;19.342
"Sanistål";"Denmark";"Small Cap";"Industri";"Handel & Distribution";"SANI";"Aktier";"Q4-2017";-0.2769231;"";14.43109;0.1652947;0.8034638;4746.272;1029.674;92.461;149.059;54.365;21.241;11.923;1419.641;4.564;1394.841
"Sanoma";"Finland";"Large Cap";"Sällanköpsvaror";"Media";"SAA1V";"Aktier";"Q1-2018";0.08303887;0.03806417;11.98358;1.05463;3.07224;1414.6;976.8;185.4;345.7;124.5;386.5;162.249;1091.3;19.6;823.2
"SARSYS-ASFT";"Sverige";"NGM";"Industri";"Tjänster & Leverans";"SARS MTF";"Aktier";"Q4-2017";0.5801527;0.004830918;71.4779;2.155596;8.518966;31.632;14.367;1.273;1.602;0.954;2.289;6.588;9.907;4.312;9.907
"SAS";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"SAS";"Aktier";"Q2-2018";-0.173301;"";3.923602;0.1310674;0.933345;42748;33643;2318;3965;1428;67;329;27217;7421;18413
"SAS ddk";"Denmark";"Mid Cap";"Industri";"Tjänster & Leverans";"SAS DKK";"Aktier";"Q2-2018";-0.2372671;"";3.674336;0.1227405;0.8740478;32915.96;25905.11;1784.86;3053.05;1099.56;51.5899;329;20957.09;5714.17;14178.01
"SAS Nok";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"SAS NOK";"Aktier";"Q2-2018";-0.2125;"";3.604202;0.1284597;0.8898901;40337.56;31789.09;2289.68;3844.37;1437.72;-20.87;329;26400.49;7198.37;17860.61
"SavoSolar";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"SAVOS";"Aktier";"Q4-2017";-0.8558823;"";-0.3330636;2.191871;0.5130147;8.1481;0.9815;-45.906;-38.6442;-53.6253;-56.3699;72.306;26.9126;21.0803;8.6627
"SavoSolar Oyj";"Finland";"First North";"Kraftförsörjning";"Energiproducenter";"SAVOH";"Aktier";"Q4-2017";-0.8430939;"";-0.3650386;2.401743;0.5621381;0.855;0.103;-4.817;-4.055;-5.627;-5.915;72.306;2.824;2.212;0.909
"Saxlund";"Sverige";"First North";"Industri";"Produktion";"SAXG";"Aktier";"Q1-2018";-0.3942652;"";-0.8830137;0.1255829;0.9989592;344.465;-36.53;-40.592;-36.531;-48.991;-54.051;25.597;249.184;17.209;224.143
"SCA B";"Sverige";"Large Cap";"Material";"Skog";"SCA B";"Aktier";"Q1-2018";0.467794;0.0157101;89.40912;-11.375;1.850218;-5895;7966;415;268;750;-15802;702.3;22513;506;9434
"ScandBook";"Sverige";"First North";"Industri";"Produktion";"SBOK";"Aktier";"Q1-2018";-0.05882353;"";16.05136;0.1879145;0.3347086;293.559;143.364;6.893;27.007;3.437;-20.29;4.597;126.117;12.856;60.572
"Scandi Standard";"Sverige";"Mid Cap";"Dagligvaror";"Konsumentprodukter";"SCST";"Aktier";"Q1-2018";-0.04500001;0.03141361;20.53837;0.4860917;2.352329;7689.6;3109.6;316.6;563.5;182;-176.4;65.233;3768;70;1272
"Scandic Hotels";"Sverige";"Mid Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"SHOT";"Aktier";"Q1-2018";-0.243379;0.04103802;14.22073;0.5585067;1.149597;15277;13911;809;1425;600;-852;102.985;10556;163;4240
"ScandiDos";"Sverige";"First North";"Hälsovård";"Sjukvård";"SDOS";"Aktier";"Q4-2018";-0.04504504;"";-12.6673;2.661169;3.144909;55.046;41.201;-11.655;-7.154;-11.565;-12.908;27.639;19.547;9.079;18.464
"Scandinavian Brake";"Denmark";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"SBS";"Aktier";"Q4-2017";-0.1236749;"";4.038562;0.1082427;-0.4795564;735;287.9;41.3;57.5;19.7;31;3.208;610.5;0.1;187.6
"Scandinavian Enviro";"Sverige";"First North";"Industri";"Produktion";"SES";"Aktier";"Q1-2018";0.1741176;"";-3.201797;60.26843;1.116565;1.927;-9.346;-35.38;-22.904;-36.275;-23.178;116.37;26.315;2.742;17.659
"Scandinavian Tobacco";"Denmark";"Large Cap";"Dagligvaror";"Konsumentprodukter";"STG";"Aktier";"Q1-2018";-0.03047616;0.0935167;14.04332;1.598191;1.213089;6369.7;3060.1;920.4;1226.6;724.9;830.9;100;4640.8;671.2;1042.4
"Scanfil";"Finland";"Mid Cap";"Informationsteknik";"Elektronisk utrustning";"SCANFL";"Aktier";"Q1-2018";0.1309524;0.02315789;10.74418;0.5395001;2.249691;549.6;"";35.4;43.8;27.6;5.4;62.423;181.1;17.7;148.8
"Scanship";"Norge";"Oslo Axess";"Industri";"Tjänster & Leverans";"SSHIP";"Aktier";"Q4-2017";2.228758;"";37.45261;1.91012;8.148526;247;247;21.9;25.1;12.6;5.3;95.506;97.3;5.6;89
"Scatec Solar";"Norge";"OB Match";"Kraftförsörjning";"Energiproducenter";"SSO";"Aktier";"Q1-2018";0.209776;0.01313131;18.7577;3.962991;4.856146;1504.024;1401.356;982.63;1231.503;317.766;-567.6;100.344;8932.1;2529.4;1506.1
"Schibsted A";"Norge";"OBX";"Sällanköpsvaror";"Media";"SCHA";"Aktier";"Q2-2018";0.3482632;0.005932204;59.519;3.999512;5.119923;17575;2984;2322;2994;1181;1069;238.276;12091;1688;5860
"Scibase";"Sverige";"First North";"Hälsovård";"Sjukvård";"SCIB";"Aktier";"Q1-2018";-0.6782178;"";-2.666667;15.33679;1.019355;7.043;2.86;-40.412;-39.642;-40.508;-42.881;16.618;9.336;95.542;9.321
"Scout Gaming";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"SCOUT";"Aktier";"Q1-2018";"";"";-17.65601;88.93504;10.37839;5.653;-8.571;-31.099;-27.426;-28.475;-36.522;12.383;5.758;35.354;5.169
"Sdiptech";"Sverige";"First North";"Industri";"Produktion";"SDIP B";"Aktier";"Q1-2018";-0.314554;"";9.509666;0.8725444;1.076874;1267.5;749.8;150.7;201.1;116.3;-243.9;30.3;1001.3;221.4;398.5
"SeaBird Exploration";"Norge";"OB Match";"Energi";"Olja & Gas";"SBX";"Aktier";"Q1-2018";-0.9567991;"";-0.03402762;0.09581006;0.09864844;123.8331;-41.2158;-323.9265;-171.7336;-348.6738;-137.3127;57.455;189.2053;25.9623;135.094
"Seadrill";"Norge";"OB Match";"Energi";"Olja & Gas";"SDRL";"Aktier";"Q1-2017";-0.3514754;"";-0.8275805;0.04058727;0.0119942;24583.82;16497.83;7019.45;14073.97;-1205.71;13380.36;504.444;97371.45;13521.64;41121.08
"Sealwacs";"Sverige";"Aktietorget";"Industri";"Produktion";"SEAL";"Aktier";"Q1-2018";-0.6;"";-6.078317;"";2.480217;"";"";-2.108;-2.108;-2.108;-1.953;6.16;1.035;3.927;0.595
"Seamless Distribution Systems";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"SDS";"Aktier";"Q2-2018";"";"";-4.853129;0.7706672;2.699949;68.183;26.374;-10.042;-0.168;-10.828;-26.177;6.914;55.143;3.341;17.081
"SeaTwirl";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"STW";"Aktier";"Q3-2018";-0.3857143;"";-5.579033;9.966622;1.050462;2.632;-0.281;-4.693;-4.648;-4.702;-7.341;1.743;2.021;12.232;1.172
"SECITS Holding";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"SECI";"Aktier";"Q4-2017";-0.7282609;"";-3.030854;1.454922;1.815389;25.589;-11.102;-14.349;-11.103;-12.284;-23.325;7.446;16.191;3.216;10.731
"Sectra";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"SECT B";"Aktier";"Q4-2018";0.4753087;0.01882845;45.95182;7.036589;15.03378;1294.724;1106.941;10.167;75.166;198.264;180.718;38.119;628.41;282.341;572.915
"Securitas";"Sverige";"Large Cap";"Industri";"Tjänster & Leverans";"SECU B";"Aktier";"Q1-2018";0.03369173;0.02773925;18.79856;0.5656612;3.199625;93061.9;16415.8;4408.5;5817.6;2800.3;396.7;365.059;35352;2495.1;14998.3
"Sedana Medical";"Sverige";"First North";"Hälsovård";"Läkemedel";"SEDANA";"Aktier";"Q1-2018";3;"";-419.3709;29.4926;12.29855;48.624;17.387;-5.485;-1.93;-3.42;-30.48;17.072;12.855;79.212;12.855
"Self Storage";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"SSG";"Aktier";"Q1-2018";"";"";22.23767;4.619367;1.855705;220.619;125.123;40.309;49.617;45.831;-130.705;63.695;199.509;130.374;66.217
"Semafo";"Sverige";"Mid Cap";"Material";"Gruv & Metall";"SMF";"Aktier";"Q1-2018";0.2637362;"";57.90799;3.91039;1.288447;2102.046;982.1892;36.1895;820.4496;141.9588;-1507.832;324.894;2230.65;1226.896;803.5104
"Semcon";"Sverige";"Small Cap";"Industri";"Tjänster & Leverans";"SEMC";"Aktier";"Q2-2018";0.02413796;0.04208754;13.33244;0.601606;2.012556;1788.4;1452.6;106;117.2;80.7;-11.5;18.113;403.9;40.5;344.5
"Sensec Holding";"Sverige";"NGM";"Industri";"Tjänster & Leverans";"SECS MTF";"Aktier";"Q1-2018";3.491803;"";177.9221;3.216033;14.38429;99.79;44.725;3.28;6.372;1.813;-2.982;117.127;27.37;2.385;18.208
"SensoDetect";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"SDET";"Aktier";"Q1-2018";0.006535941;"";-3.876164;237.05;4.258218;0.154;0.107;-9.234;-8.209;-9.42;"";23.705;6.304;9.404;2.704
"Sensori";"Sverige";"NGM";"Hälsovård";"Sjukvård";"SORI MTF";"Aktier";"Q4-2017";-0.1157025;"";-9.009009;58.99973;2.697512;1.858;1.365;-12.203;-11.286;-12.168;-13.775;10.245;2.47;4.698;2.47
"Sensys Gatso";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"SENS";"Aktier";"Q1-2018";0.8813792;"";-21.04938;3.919541;2.754531;294.03;116.193;-52.346;-14.218;-54.759;-42.754;844.914;208.101;66.546;118.679
"SenzaGen";"Sverige";"First North";"Hälsovård";"Läkemedel";"SENZA";"Aktier";"Q4-2017";"";"";-58.78153;57.88354;7.561364;13.195;-5.938;-16.606;-16.006;-12.994;-21.205;15.461;7.665;82.732;6.76
"Senzime";"Sverige";"First North";"Hälsovård";"Sjukvård";"SEZI";"Aktier";"Q1-2018";0.2713178;"";-25.65707;1721.875;2.080533;0.196;-0.758;-13.154;-12.766;-13.156;-22.367;41.157;25.653;27.31;4.53
"Serneke";"Sverige";"Mid Cap";"Industri";"Byggnation";"SRNKE B";"Aktier";"Q2-2018";-0.2477366;0.04376367;7.327182;0.3444427;1.20049;6169;331;403;403;290;-404;23.248;2972;562;1585
"Serstech";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"SERT";"Aktier";"Q1-2018";-0.515625;"";-18.90244;4.729621;1.940857;21.013;9.027;-4.024;0.45;-5.259;-7.816;53.432;10.474;14.496;9.162
"Sevan Drilling";"Norge";"OB Standard";"Energi";"Olja & Gas";"SEVDR";"Aktier";"Q4-2017";-0.5728477;"";-0.009794468;0.03380408;-0.02616565;1134.567;467.451;-3176.631;399.33;-3915.783;422.037;29.731;9671.616;335.124;9671.616
"Sevan Marine";"Norge";"OB Standard";"Energi";"Olja & Gas";"SEVAN";"Aktier";"Q1-2018";0.2490974;0.02890173;-137.9585;12.46714;4.643373;73;-33.5;-35.5;-33.5;-6.5999;32.7;52.607;31.6;208.7;29.4
"ShaMaran";"Sverige";"First North";"Energi";"Olja & Gas";"SNM";"Aktier";"Q1-2018";0.1764706;"";195.1219;4.632517;1.231338;372.7789;154.108;118.3077;118.4715;8.9635;-82.2121;2158.631;1803.4;98.518;1701.705
"Shelf Drilling";"Norge";"OB Standard";"Energi";"Olja & Gas";"SHLF";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Shortcut Media";"Sverige";"Aktietorget";"Sällanköpsvaror";"Media";"SMG";"Aktier";"Q1-2018";-0.6977273;"";-3.300794;0.2953768;0.9842905;63.664;38.824;-4.335;0.123;-5.698;"";9.426;20.394;7.646;13.969
"Siem Offshore";"Norge";"OB Standard";"Energi";"Olja & Gas";"SIOFF";"Aktier";"Q1-2018";-0.005263153;"";-1.423943;0.6053465;0.5524903;2941.158;1125.846;-804.3622;1108.52;-1250.435;558.352;942.021;12557.3;325.703;2659.535
"Siili Solutions";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"SIILI";"Aktier";"Q4-2017";-0.005145752;0.03362069;20.2161;1.38434;3.859043;57.969;47.872;5.01;5.771;3.97;1.585;6.918;13.066;8.954;12.255
"Silkeborg IF";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"SIF";"Aktier";"Q4-2017";-0.02777775;"";9.875847;1.445417;0.7869759;95.899;57;12.642;16.448;14.036;0.078;9.901;454.774;4.312;118.78
"Silmäasema";"Finland";"Small Cap";"Hälsovård";"Sjukvård";"SILMA";"Aktier";"Q1-2018";-0.3522459;"";-2490.909;0.6518374;1.984825;119.783;67.401;1.909;7.387;-0.032;-5.438;14.248;62.92;6.218;25.011
"SimCorp";"Denmark";"Large Cap";"Informationsteknik";"IT-Tjänster";"SIM";"Aktier";"Q1-2018";0.3614729;0.01195952;39.32934;8.214321;28.94428;2679.68;1668.785;759.1404;759.1404;559.6814;241.8148;40.5;1046.354;204.972;895.4635
"Simris Alg";"Sverige";"First North";"Dagligvaror";"Livsmedel";"SIMRIS B";"Aktier";"Q1-2018";-0.4914634;"";-3.441588;86.21327;2.140137;0.919;-2.749;-22.654;-19.164;-23.022;-24.303;9.5;12.401;1.76;6.571
"Sino Agro Food";"Norge";"Merkur Market";"Dagligvaror";"Konsumentprodukter";"SIAF-ME";"Aktier";"Q3-2017";-0.8676471;"";0.08338151;0.03601249;0.0101154;1461.993;216.662;63.988;127.287;631.435;-14.249;23.4;607.774;15.542;251.944
"SinterCast";"Sverige";"Small Cap";"Industri";"Produktion";"SINT";"Aktier";"Q1-2018";0.08137932;0.03507653;28.21666;8.138448;6.162483;68.3;53;19.8;21.8;19.7;16.3;7.09;11.5;37.3;11.5
"Sivers IMA";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"SIVE";"Aktier";"Q1-2018";0.7927711;"";-8.204676;4.691421;1.853839;110.713;29.132;-69.378;-28.758;-63.307;-69.164;69.812;77.565;69.375;41.387
"SJR";"Sverige";"First North";"Industri";"Bemanning";"SJR B";"Aktier";"Q1-2018";0.2366412;0.05967078;15.94697;1.297153;7.29;393.4;127.6;41.8;43.3;32;18.6;10.5;69.9;50.3;69.9
"Sjöstrand Coffee";"Sverige";"Aktietorget";"Sällanköpsvaror";"Konsument";"SCC B";"Aktier";"Q1-2018";-0.8181818;"";-1.394214;0.59611;3.072372;4.216;"";-2.062;-2.062;-1.803;"";6.283;1.645;0.103;1.58
"SKAKO";"Denmark";"Small Cap";"Industri";"Byggprodukter";"SKAKO";"Aktier";"Q1-2018";0.01927709;"";-22.25906;0.7726095;2.848275;340.104;76.392;15.017;15.017;-11.805;-17.057;3.106;167.224;4.484;163.813
"Skanska";"Sverige";"Large Cap";"Industri";"Byggnation";"SKA B";"Aktier";"Q1-2018";-0.1460268;0.04984894;23.11485;0.4256994;2.415351;158930;12330;3260;4901;2927;1134;408.8;82384;12067;71922
"SKF B";"Sverige";"Large Cap";"Industri";"Produktion";"SKF B";"Aktier";"Q2-2018";-0.0221339;0.03192107;11.93427;0.965453;2.507981;81288;20324;9532;11841;6576;4827;455.351;52566;6260;20229
"SkiStar";"Sverige";"Mid Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"SKIS B";"Aktier";"Q3-2018";0.09670333;0.02755511;17.23542;3.186064;3.178131;2455.043;2189.514;581.725;829.424;453.829;155.538;39.188;2236.493;84.253;899.566
"Skåne-möllan";"Sverige";"First North";"Dagligvaror";"Livsmedel";"SKMO";"Aktier";"Q1-2018";0.02380952;0.0255814;41.13062;2.835732;3.287005;166.8;35.1;14.8;25.7;11.5;18.2;1.1;29.5;59.4;20.5
"Skånska Energi";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"SEAB B";"Aktier";"Q1-2018";0.1092437;0.03030303;18.21343;1.638907;2.461495;333.321;148.482;39.878;59.866;29.994;36.724;8.277;196.011;46.24;125.577
"Sleepo";"Sverige";"Aktietorget";"Sällanköpsvaror";"Konsument";"SLEEP";"Aktier";"Q3-2018";1.266667;"";-16.12903;0.4312301;18.40269;74.425;29.364;-3.466;-2.467;-1.99;"";6.293;14.176;1.749;14.176
"Smart Energy";"Sverige";"NGM";"Energi";"Olja & Gas";"SEGR MTF";"Aktier";"Q4-2017";"";"";-9.518072;0.1726203;1.901632;554.438;57.279;-1.563;8.972;-10.115;-5.145;605.742;210.279;22.986;121.893
"Smart Eye";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"SEYE";"Aktier";"Q1-2018";-0.08613443;"";-9.486631;6.8556;4.250351;64.467;20.808;-46.274;-34.67;-46.588;-66.292;10.16;27.344;37.794;22.177
"Smoltek";"Sverige";"Aktietorget";"Industri";"Produktion";"SMOL";"Aktier";"Q4-2017";"";"";-28.57938;73.10014;5.431807;2.239;-1.443;-5.693;-5.693;-5.727;-8.152;5.314;3.623;4.647;2.785
"Snap Inc.";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Programvara & Internet";"SNAP";"Aktier";"Q2-2017";-0.2841163;"";-4.587814;"";3.945038;"";28.569;-2963.49;-2920.385;-2946.103;-2511.844;1091.329;334.567;2797.596;258.309
"SoftOx Solutions";"Norge";"Merkur Market";"Hälsovård";"Läkemedel";"SOFTOX-ME";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Softronic";"Sverige";"Small Cap";"Informationsteknik";"IT-Tjänster";"SOF B";"Aktier";"Q1-2018";1.497297;0.03246753;21.59686;1.778818;4.468292;683.5;486.2;72.6;81.2;56.3;67.3;52.633;126.8;118;125
"Solar";"Denmark";"Mid Cap";"Industri";"Byggprodukter";"SOLAR B";"Aktier";"Q1-2018";0.08502024;0.02487562;-130.3037;0.2740157;1.880119;10937;2283;133;356;-23;-96;7.455;3240;23;2694
"Solon Eiendom";"Norge";"OB Match";"Hälsovård";"Läkemedel";"SOLON";"Aktier";"Q1-2018";0.5132276;0.04020979;2118.519;1.212072;2.327304;1146.646;252.579;188.779;191.24;0.658;-95.222;48.595;1395.708;278.27;414.602
"Solstad Farstad";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"SOFF";"Aktier";"Q1-2018";-0.380851;"";-2.290617;0.4145038;0.383056;4091.612;908.231;-1174.989;53.858;-740.407;2102.208;291.407;30532.06;1469.054;13086.81
"SolTech Energy";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"SOLT";"Aktier";"Q4-2017";-0.2540983;"";-13.24214;5.641038;1.869591;49.773;30.815;-17.686;-13.672;-21.204;-51.157;30.854;186.803;44.671;103.334
"Solteq";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"SOLTEQ";"Aktier";"Q1-2018";-0.05357138;"";-50.31646;0.4635124;1.284733;61.053;45.642;1.437;3.648;-0.563;-6.607;17.798;45.479;2.071;18.894
"Sonetel";"Sverige";"First North";"Telekommunikation";"Telekommunikationstjänster";"SONE";"Aktier";"Q3-2018";-0.5677966;"";-6.848395;1.565791;1.254881;26.461;-2.995;-8.307;-4.919;-6.05;-19.994;4.062;11.997;4.467;7.613
"Songa Bulk";"Norge";"Oslo Axess";"Industri";"Tjänster & Leverans";"SBULK";"Aktier";"Q1-2018";0.0410256;0.01913793;58.90033;4.402893;1.050243;330.6726;156.5946;70.7927;132.8308;24.7215;-1844.971;35.86;1202.412;131.1345;94.2494
"Soprano";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"SOPRA";"Aktier";"Q4-2017";-0.1008849;"";16.23003;0.5619535;1.556253;16.27;9.824;0.663;1.04;0.564;0.022;17.998;6.841;0.579;6.517
"Sotkamo Silver";"Sverige";"NGM";"Material";"Gruv & Metall";"SOSI";"Aktier";"Q1-2018";-0.09756094;"";-64.7986;4026.333;1.091071;0.101;-17.386;-22.541;-22.402;-6.277;-62.456;109.908;145.304;308.258;13.769
"Sotkamo Silver Oyj";"Finland";"Small Cap";"Material";"Gruv & Metall";"SOSI1";"Aktier";"Q1-2018";-0.21875;"";-59.32203;3629.038;0.9829488;0.0106;-1.8255;-2.3668;-2.3523;-0.659;-6.5578;109.908;15.2568;32.367;1.4457
"SP Group";"Denmark";"Mid Cap";"Industri";"Produktion";"SPG";"Aktier";"Q1-2018";0.08831166;0.00795545;16.70576;1.214857;5.180589;2357.023;764.508;243.329;347.036;171.405;-32.29;11.39;989.546;48.265;615.763
"Spago Nanomedical";"Sverige";"Aktietorget";"Hälsovård";"Bioteknik";"SPAG";"Aktier";"Q1-2018";-0.09274191;"";-16.2784;6.977589;1.414712;23.114;9.693;-9.598;-9.29;-9.908;-31.64;14.336;3.092;28.534;3.092
"SpectraCure";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"SPEC";"Aktier";"Q1-2018";5.844263;"";-68.44262;158.6752;19.77051;2.978;1.898;-6.89;-5.773;-6.905;-8.97;56.591;2.161;12.552;2.161
"Spectrum";"Norge";"OB Match";"Energi";"Olja & Gas";"SPU";"Aktier";"Q1-2018";0.7309941;0.008445946;-13.48243;3.746611;2.979866;860.3457;636.0304;-166.1123;628.27;-239.0818;111.9219;54.449;1179.448;157.4021;754.0799
"SpiffX";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"SPIFFX";"Aktier";"Q1-2018";1.763819;"";-6.653762;154.9525;69.45679;0.511;-1.133;-11.901;-11.896;-11.901;-12.419;28.793;1.498;2.099;1.498
"Spintso International";"Sverige";"NGM";"Informationsteknik";"Elektronisk utrustning";"SPIN MTF";"Aktier";"Q4-2017";-0.6610169;"";-1.693958;0.8255541;2.688747;4.602;2.985;-2.15;-1.724;-2.243;-2.201;6.332;3.221;1.466;1.151
"Sportamore";"Sverige";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"SPOR";"Aktier";"Q1-2018";-0.292517;"";-69.15813;1.202635;4.412386;794.808;292.357;-17.291;-12.426;-13.822;-84.464;9.191;245.409;79.751;201.423
"Spotify";"USA";"NYSE & Nasdaq
";"Informationsteknik";"IT-Tjänster";"SPOT";"Aktier";"Q1-2018";"";"";-18.05268;5.606436;150.6773;5278.94;1252.94;-341.6;-331.84;-1501.82;-1.2199;167.778;3710.02;1922.72;2376.56
"Sprint Bioscience";"Sverige";"First North";"Hälsovård";"Läkemedel";"SPRINT";"Aktier";"Q1-2018";-0.4117647;"";-24.60226;2.75485;1.675688;41.24;30.336;-4.42;-3.858;-4.618;-14.399;7.574;9.883;4.358;9.883
"SRV Yhtiöt";"Finland";"Mid Cap";"Industri";"Byggnation";"SRV1V";"Aktier";"Q1-2018";-0.494186;0.02298851;-14.25451;0.1399336;0.5870231;1110;122.2;1;6.7;-10.9;-39.4;59.512;663.2;26.8;389.8
"SSAB A";"Sverige";"Large Cap";"Material";"Gruv & Metall";"SSAB A";"Aktier";"Q1-2018";0.02291662;0.02262955;18.49883;0.6721047;0.8236536;67708;7622;4052;7800;2460;4794;1029.8;34433;3862;16628
"SSAB B Oyj";"Finland";"Large Cap";"Material";"Gruv & Metall";"SSABBH";"Aktier";"Q1-2018";-0.06338412;0.02904444;14.57663;0.5290957;0.6684769;6701.248;754.808;401.536;772.656;243.34;478.156;1029.8;3305.568;370.752;1596.288
"SSH Communications";"Finland";"Small Cap";"Informationsteknik";"Kommunikation";"SSH1V";"Aktier";"Q2-2018";-0.04245279;"";156.1538;4.35951;6.39633;17.9;16.2;0.6;0.6;0.5;1.1;38.441;7.2;11.7;7.2
"SSM Holding";"Sverige";"Mid Cap";"Industri";"Byggnation";"SSM";"Aktier";"Q1-2018";-0.7150943;"";4.692939;1.247013;0.6147119;475.3;55.8;156.9;156.9;126.3;-267.9;39.252;619.2;258.7;114.9
"Star Vault";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"STVA B";"Aktier";"Q1-2018";0.08800006;"";-0.04055646;0.05631956;0.003658545;323.698;323.435;-449.517;-449.517;-449.515;-784.646;67.024;1117;2038;1117
"Starbreeze B";"Sverige";"Mid Cap";"Sällanköpsvaror";"Betting & Spel";"STAR B";"Aktier";"Q1-2018";-0.316955;"";-26.98196;4.911051;1.912426;596.545;189.99;-94.4;30.649;-108.602;-714.142;296.825;1228.737;370.237;164.109
"Starbucks";"USA";"NYSE & Nasdaq
";"Dagligvaror";"Konsumentprodukter";"SBUX";"Aktier";"Q4-2017";-0.1425287;0.01914975;26.45792;3.409131;13.98562;22386.8;13348.6;4134.7;5299.6;2884.7;3324.3;1461.5;8908.6;2690.9;4220.7
"Stille";"Sverige";"First North";"Hälsovård";"Sjukvård";"STIL";"Aktier";"Q1-2018";0.3770492;0.01428571;24.55279;3.193373;5.199584;126.998;58.359;22.501;26.513;16.518;12.808;4.828;22.547;35.702;21.13
"Stillfront";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"SF";"Aktier";"Q1-2018";1.231738;"";38.35631;8.616977;6.0024;597.72;341.6;178.356;232.149;134.282;27.404;23.253;945.404;144.542;269.346
